name,address,jibun_address,district,dong,category,description,url,lat,lng
젬코,서울특별시 동대문구 천호대로85길 10,서울특별시 동대문구 장안동 463-3,동대문구,장안동,가전제품 수리업,,,37.56254583,127.06625797
디씨공조,서울특별시 관악구 당곡2길 25,서울특별시 관악구 봉천동 711-93,관악구,봉천동,가전제품 수리업,,,37.49104931,126.93023204
더블루서비스,서울특별시 금천구 가산디지털1로 16,서울특별시 금천구 가산동 673,금천구,가산동,가전제품 수리업,,,37.46760869,126.88807831
청강아이앤씨,서울특별시 강동구 상암로 198,서울특별시 강동구 명일동 346-5,강동구,명일동,가전제품 수리업,,,37.54624021,127.14434614
위니아서비스,서울특별시 노원구 덕릉로 744,서울특별시 노원구 상계동 95-180,노원구,상계동,가전제품 수리업,,,37.66387379,127.07655966
위니아에이드서비스,서울특별시 강남구 남부순환로351길 22,서울특별시 강남구 도곡동 951-12,강남구,도곡동,가전제품 수리업,,,37.48621748,127.03439554
머신인더스트리,서울특별시 광진구 동일로80길 34,서울특별시 광진구 중곡동 175-100,광진구,중곡동,가전제품 수리업,,,37.56998741,127.08167044
와이제이service,서울특별시 구로구 고척로31길 44,서울특별시 구로구 고척동 249-63,구로구,고척동,가전제품 수리업,,,37.50426167,126.84777276
365에어컨그린인테리어,서울특별시 중랑구 동일로99길 26,서울특별시 중랑구 면목동 179-94,중랑구,면목동,가전제품 수리업,,,37.58794644,127.07839529
위니아서비스,서울특별시 노원구 덕릉로 744,서울특별시 노원구 상계동 95-180,노원구,상계동,가전제품 수리업,,,37.66387379,127.07655966
린나이강서서비스13,서울특별시 강서구 화곡로 243-1,서울특별시 강서구 화곡동 94-2,강서구,화곡동,가전제품 수리업,,,37.54695694,126.84532093
발터시스,서울특별시 서초구 매헌로 46,서울특별시 서초구 양재동 209,서초구,양재동,가전제품 수리업,,,37.46489057,127.03440838
위니아서비스,서울특별시 동작구 상도로20길 8,서울특별시 동작구 상도동 191-8,동작구,상도동,가전제품 수리업,,,37.50226094,126.93570662
쿠첸마포서비스,서울특별시 마포구 서강로 53,서울특별시 마포구 창전동 444,마포구,창전동,가전제품 수리업,,,37.54836266,126.93117448
위니아서비스,서울특별시 은평구 은평로13길 16,서울특별시 은평구 녹번동 155-15,은평구,녹번동,가전제품 수리업,,,37.60254491,126.92532647
캐리어ENG신송파센타,서울특별시 송파구 오금로 544-14,서울특별시 송파구 거여동 256-40,송파구,거여동,가전제품 수리업,,,37.49229953,127.14971524
위니아서비스,서울특별시 노원구 덕릉로 744,서울특별시 노원구 상계동 95-180,노원구,상계동,가전제품 수리업,,,37.66387379,127.07655966
캐리어종로센타,서울특별시 종로구 명륜길 15-4,서울특별시 종로구 명륜3가 2-29,종로구,명륜3가,가전제품 수리업,,,37.58799942,126.99583341
성도공조,서울특별시 강서구 양천로 658,서울특별시 강서구 염창동 265,강서구,염창동,가전제품 수리업,,,37.55230249,126.86992404
위니아서비스,서울특별시 서초구 강남대로30길 32-22,서울특별시 서초구 양재동 17-13,서초구,양재동,가전제품 수리업,,,37.48120636,127.03924357
위니아서비스,서울특별시 도봉구 노해로 341,서울특별시 도봉구 창동 338,도봉구,창동,가전제품 수리업,,,37.65144714,127.04590548
